timestamp,strategy,signal_ticker,action_ticker,action,qty,price,gross_pnl,fee,net_pnl,trigger_time,reason
2026-09-17T18:55:57.453684+00:00,ASX_ADR_Arbitrage,-,BHP.AX,CLOSE_LONG,150,60.21,-408.0,1.0,-409.0,0s,STOP_LOSS
2026-09-17T18:55:57.456026+00:00,Inventory_Drift_Reversal,-,IFX.DE,CLOSE_LONG,157,54.66,-916.88,1.0,-917.88,0s,STOP_LOSS
2026-09-17T18:55:57.457790+00:00,Sentiment_Echo,-,NOVO-B.CO,CLOSE_LONG,31,279.35,-607.6,1.0,-608.6,0s,STOP_LOSS
2026-09-17T18:55:57.460981+00:00,Biotech_News_Lag,-,BNTX,CLOSE_LONG,91,98.96,-434.53,1.0,-435.53,0s,STOP_LOSS
2026-09-17T18:55:57.548577+00:00,Cross_Listed_Pair_Fade,-,RIO.TO,CLOSE_LONG,2676,3.64,240.84,13.38,227.46,0s,TAKE_PROFIT
2026-09-17T18:55:57.550198+00:00,Time_Zone_Momentum_Relay,-,1306.T,CLOSE_LONG,22,426.6,-68.2,1.0,-69.2,0s,STOP_LOSS
2026-09-17T18:55:57.551918+00:00,London_Metals_Catchup,-,FCX,CLOSE_LONG,130,70.88,-237.25,1.0,-238.25,0s,STOP_LOSS
2026-09-17T18:55:57.748145+00:00,Canadian_Energy_Echo,-,SU.TO,CLOSE_LONG,101,97.31,420.16,1.0,419.16,0s,TAKE_PROFIT
2026-09-17T18:55:57.948734+00:00,SKHY_ADR_FX_Neutralization,-,SKHY,CLOSE_LONG,53,184.08,376.03,1.0,375.03,0s,TAKE_PROFIT
2026-09-17T18:55:57.950096+00:00,SKHY_HBM_Supply_Chain,-,SKHY,CLOSE_LONG,53,184.08,376.03,1.0,375.03,0s,TAKE_PROFIT
2026-09-17T18:55:57.951474+00:00,SKHY_Post_Market_KOSPI,-,SKHY,CLOSE_LONG,53,184.08,376.03,1.0,375.03,0s,TAKE_PROFIT
